132.243.195.26:8443#🇬🇧 GB[164.12ms-0.0Mbps]
43.245.227.108:2053#🇬🇧 GB[164.79ms-0.0Mbps]
147.90.26.94:443#🇫🇷 FR[164.88ms-0.0Mbps]
132.243.195.50:8443#🇬🇧 GB[165.69ms-0.0Mbps]
170.64.237.192:443#🇦🇺 AU[166.28ms-0.0Mbps]
147.90.26.15:443#🇫🇷 FR[167.16ms-0.0Mbps]
147.90.26.38:443#🇫🇷 FR[167.24ms-0.16Mbps]
151.244.132.39:443#🇫🇷 FR[167.74ms-0.0Mbps]
2.27.169.140:443#🇳🇱 NL[167.76ms-0.11Mbps]
147.90.26.17:443#🇫🇷 FR[167.83ms-0.0Mbps]
222.167.217.221:8443#🇳🇱 NL[167.98ms-0.07Mbps]
147.90.26.77:443#🇫🇷 FR[168.14ms-0.0Mbps]
91.227.62.63:443#🇬🇧 GB[168.67ms-0.72Mbps]
147.90.26.24:443#🇫🇷 FR[168.69ms-0.0Mbps]
178.173.254.224:443#🇳🇱 NL[168.87ms-0.0Mbps]
170.64.163.39:443#🇦🇺 AU[168.98ms-0.0Mbps]
5.129.233.22:443#🇳🇱 NL[169.02ms-0.0Mbps]
147.90.26.92:443#🇫🇷 FR[169.08ms-0.0Mbps]
147.90.26.89:443#🇫🇷 FR[169.27ms-0.0Mbps]
170.64.245.159:443#🇦🇺 AU[169.36ms-0.0Mbps]
147.90.26.8:443#🇫🇷 FR[169.39ms-0.0Mbps]
147.45.244.217:2053#🇳🇱 NL[169.64ms-0.0Mbps]
176.57.212.248:2053#🇳🇱 NL[169.78ms-0.0Mbps]
188.227.107.171:443#🇳🇱 NL[169.85ms-0.0Mbps]
5.129.214.104:443#🇳🇱 NL[169.92ms-0.0Mbps]
146.103.125.5:8443#🇳🇱 NL[170.1ms-0.0Mbps]
89.124.77.146:443#🇳🇱 NL[170.15ms-0.0Mbps]
20.174.15.226:443#🇦🇪 AE[170.39ms-0.19Mbps]
193.177.221.29:443#🇦🇺 AU[170.48ms-0.0Mbps]
94.159.99.131:443#🇩🇪 DE[171.1ms-0.0Mbps]
172.86.94.125:443#🇩🇪 DE[171.48ms-0.0Mbps]
176.57.221.222:8443#🇩🇪 DE[171.58ms-0.0Mbps]
94.159.105.46:8443#🇩🇪 DE[171.67ms-0.0Mbps]
109.172.94.240:443#🇩🇪 DE[171.95ms-0.0Mbps]
94.159.105.148:443#🇩🇪 DE[172.43ms-0.06Mbps]
194.87.29.182:443#🇩🇪 DE[172.6ms-0.0Mbps]
193.233.134.90:443#🇩🇪 DE[173.21ms-0.13Mbps]
194.147.16.51:443#🇬🇧 GB[173.44ms-0.0Mbps]
157.22.128.7:443#🌐 UZ[175.38ms-1.18Mbps]
38.54.4.209:443#🌐 KH[175.77ms-1.0Mbps]
217.144.185.34:443#🇬🇧 GB[177.63ms-0.0Mbps]
192.9.175.224:443#🇦🇺 AU[178.36ms-0.0Mbps]
80.78.27.183:443#🇩🇰 DK[178.8ms-0.08Mbps]
207.211.157.214:443#🇦🇺 AU[179.59ms-0.0Mbps]
80.78.30.157:443#🇩🇰 DK[179.77ms-0.1Mbps]
123.51.23.113:443#🇦🇺 AU[180.03ms-0.0Mbps]
132.243.203.227:8443#🇦🇹 AT[180.67ms-0.0Mbps]
80.227.252.11:8443#🇦🇪 AE[180.7ms-0.0Mbps]
80.78.19.11:443#🇩🇰 DK[181.05ms-0.13Mbps]
85.137.167.192:8443#🇨🇿 CZ[182.32ms-0.0Mbps]
152.53.67.107:443#🇦🇹 AT[182.46ms-0.0Mbps]
85.137.167.21:443#🇨🇿 CZ[183.44ms-0.0Mbps]
46.102.156.144:8443#🇦🇹 AT[183.73ms-0.0Mbps]
109.172.9.100:443#🇨🇿 CZ[185.31ms-0.0Mbps]
193.228.128.110:443#🇨🇭 CH[185.88ms-0.0Mbps]
194.156.102.142:443#🇨🇭 CH[186.48ms-0.0Mbps]
79.141.175.246:443#🇸🇪 SE[186.7ms-0.0Mbps]
65.20.103.129:8443#🇪🇸 ES[186.98ms-0.0Mbps]
31.57.190.64:443#🇪🇸 ES[187.09ms-0.0Mbps]
87.120.222.39:443#🇨🇭 CH[187.34ms-0.07Mbps]
103.63.30.230:443#🇨🇭 CH[187.46ms-0.0Mbps]
163.61.74.121:443#🇻🇳 VN[187.7ms-0.0Mbps]
150.242.90.205:443#🇨🇦 CA[187.97ms-0.37Mbps]
213.176.18.108:443#🇨🇭 CH[188.11ms-0.0Mbps]
45.95.232.18:8443#🇨🇭 CH[188.47ms-0.0Mbps]
130.195.222.215:443#🇦🇹 AT[188.84ms-0.0Mbps]
192.9.162.124:8443#🇦🇺 AU[188.85ms-0.0Mbps]
161.248.31.35:443#🇻🇳 VN[189.42ms-0.0Mbps]
149.33.15.96:2053#🇨🇭 CH[189.48ms-0.0Mbps]
194.87.18.208:443#🇨🇭 CH[189.51ms-0.0Mbps]
45.156.22.114:443#🇫🇮 FI[189.55ms-0.0Mbps]
85.137.166.223:443#🇨🇿 CZ[189.6ms-0.0Mbps]
38.180.225.181:443#🇭🇺 HU[189.63ms-0.05Mbps]
94.159.112.28:443#🇪🇪 EE[189.65ms-0.0Mbps]
31.57.190.75:443#🇪🇸 ES[189.9ms-0.0Mbps]
31.57.105.157:2053#🇫🇮 FI[190.21ms-0.0Mbps]
46.8.236.43:443#🇫🇮 FI[190.37ms-0.0Mbps]
89.46.235.32:2053#🇵🇱 PL[190.38ms-0.0Mbps]
62.60.149.222:8443#🇫🇮 FI[190.47ms-0.0Mbps]
95.164.55.74:443#🇫🇮 FI[191.32ms-0.0Mbps]
223.165.4.124:8443#🇹🇼 TW[191.43ms-0.0Mbps]
45.156.22.107:443#🇫🇮 FI[191.48ms-0.0Mbps]
203.18.98.246:8443#🇫🇮 FI[192.45ms-0.0Mbps]
37.128.207.246:443#🇱🇻 LV[192.69ms-0.0Mbps]
176.57.211.166:2053#🇷🇺 RU[192.73ms-0.0Mbps]
45.148.102.20:443#🇨🇭 CH[192.79ms-0.0Mbps]
5.182.39.57:443#🇵🇹 PT[193.24ms-0.15Mbps]
91.108.189.152:2053#🇫🇮 FI[193.42ms-0.0Mbps]
37.9.171.189:443#🇸🇰 SK[193.88ms-0.14Mbps]
84.22.150.185:443#🇫🇮 FI[194.02ms-0.0Mbps]
5.45.112.211:443#🇪🇪 EE[194.27ms-0.0Mbps]
45.43.78.153:443#🇱🇻 LV[194.3ms-0.0Mbps]
84.22.148.196:443#🇸🇪 SE[194.32ms-0.0Mbps]
45.43.77.109:443#🇱🇻 LV[194.6ms-0.0Mbps]
2.27.30.12:8443#🇫🇮 FI[194.72ms-0.0Mbps]
37.128.206.170:8443#🇱🇻 LV[194.93ms-0.0Mbps]
176.124.206.42:2087#🇸🇪 SE[196.18ms-0.7Mbps]
41.216.182.98:443#🇸🇪 SE[196.18ms-0.0Mbps]
213.226.124.66:443#🇷🇺 RU[196.45ms-0.0Mbps]
193.68.89.220:443#🇱🇻 LV[196.89ms-0.0Mbps]
142.111.244.42:443#🇸🇪 SE[196.95ms-0.0Mbps]
213.21.240.183:8443#🇸🇪 SE[196.97ms-0.0Mbps]
84.22.150.1:443#🇸🇪 SE[197.29ms-0.0Mbps]
45.8.93.31:8443#🇸🇪 SE[197.57ms-0.0Mbps]
45.142.215.61:443#🇱🇻 LV[197.93ms-0.0Mbps]
185.23.236.202:443#🇪🇪 EE[198.09ms-0.0Mbps]
185.23.236.29:443#🇪🇪 EE[198.34ms-0.0Mbps]
113.30.151.151:8443#🌐 IT[198.57ms-0.0Mbps]
142.111.244.5:443#🇸🇪 SE[198.79ms-0.0Mbps]
223.165.4.124:2053#🇹🇼 TW[199.3ms-0.05Mbps]
209.131.70.96:8443#🇪🇪 EE[199.97ms-0.0Mbps]
64.110.75.145:443#🇰🇷 KR[200.28ms-0.0Mbps]
129.154.222.63:8443#🇰🇷 KR[201.48ms-0.0Mbps]
35.241.172.224:443#🇧🇪 BE[201.62ms-0.0Mbps]
185.39.30.18:2087#🇷🇴 RO[201.67ms-0.13Mbps]
